physician_name,physician_id,physician_dob,physician_grad_year,medical_school,salary
Heather Smith,0,1960-06-01,2013-05-01,Davinci Med,200000
Kayla Hunter DDS,1,1997-09-01,1985-01-01,Johns Hopkins,220000
Heather Smith,2,2012-03-01,1980-02-01,David Geffen,180000
Joseph Johnson,3,1980-04-01,1981-09-01,Johns Hopkins,200000
Joseph Johnson,4,1982-11-01,1999-06-01,Davinci Med,150000
Kayla Hunter DDS,5,1990-01-01,1981-12-01,NYU,200000
Joseph Johnson,6,1954-02-01,1983-08-01,Davinci Med,150000
Kayla Hunter DDS,7,1963-11-01,1980-02-01,Johns Hopkins,220000
Jesse Gordon,8,2019-09-01,1989-03-01,NYU,210000
Jesse Gordon,9,1983-06-01,2014-10-01,Johns Hopkins,150000
Jesse Gordon,10,1991-07-01,2007-08-01,NYU,210000
Jesse Gordon,11,2012-02-01,2017-05-01,Davinci Med,210000
Heather Smith,12,1966-12-01,1992-08-01,David Geffen,150000
Kayla Hunter DDS,13,1976-06-01,2018-04-01,NYU,220000
Jesse Gordon,14,1994-02-01,1992-10-01,Mayo Clinic,210000
Heather Smith,15,2019-09-01,1989-06-01,NYU,220000
Jesse Gordon,16,1951-06-01,2002-06-01,NYU,150000
Jason Williams,17,2012-01-01,1992-07-01,David Geffen,210000
Joseph Johnson,18,2016-03-01,1989-09-01,Davinci Med,210000
Kayla Hunter DDS,19,2009-05-01,1983-11-01,Mayo Clinic,200000
Jason Williams,20,1971-10-01,2013-07-01,Mayo Clinic,200000
Joseph Johnson,21,1961-02-01,1994-12-01,Johns Hopkins,150000
Joseph Johnson,22,1997-12-01,1991-09-01,Davinci Med,150000
Joseph Johnson,23,1983-09-01,2005-01-01,David Geffen,210000
Jesse Gordon,24,1969-04-01,2015-01-01,NYU,150000
Kayla Hunter DDS,25,2008-09-01,2012-02-01,David Geffen,150000
Heather Smith,26,1953-08-01,2018-12-01,Davinci Med,210000
Jason Williams,27,1994-05-01,1998-12-01,Johns Hopkins,200000
Joseph Johnson,28,1967-06-01,1987-03-01,NYU,150000
Kayla Hunter DDS,29,2015-06-01,1981-06-01,Mayo Clinic,180000
Kayla Hunter DDS,30,1985-03-01,1981-05-01,David Geffen,200000
Heather Smith,31,2003-07-01,1987-08-01,Davinci Med,210000
Kayla Hunter DDS,32,1968-01-01,2018-12-01,Davinci Med,200000
Jason Williams,33,1975-12-01,1982-02-01,David Geffen,220000
Kayla Hunter DDS,34,1995-05-01,2008-10-01,NYU,180000
Joseph Johnson,35,1959-01-01,2001-02-01,Mayo Clinic,210000
Jesse Gordon,36,1973-02-01,1992-02-01,Johns Hopkins,210000
Kayla Hunter DDS,37,2002-03-01,2015-07-01,David Geffen,220000
Jason Williams,38,2014-07-01,1986-11-01,Davinci Med,220000
Joseph Johnson,39,1997-02-01,1993-09-01,Davinci Med,150000
Kayla Hunter DDS,40,1955-03-01,1990-09-01,David Geffen,220000
Jason Williams,41,1989-07-01,2010-05-01,Davinci Med,220000
Heather Smith,42,2004-04-01,2005-03-01,Mayo Clinic,200000
Kayla Hunter DDS,43,1998-04-01,2002-12-01,Mayo Clinic,220000
Jesse Gordon,44,1966-10-01,2004-12-01,David Geffen,150000
Joseph Johnson,45,2011-06-01,1989-07-01,Johns Hopkins,210000
Heather Smith,46,1961-02-01,1994-01-01,Johns Hopkins,180000
Kayla Hunter DDS,47,2006-12-01,2002-09-01,Mayo Clinic,210000
Jason Williams,48,1975-03-01,1981-12-01,NYU,180000
Joseph Johnson,49,1971-09-01,1994-07-01,NYU,220000
Joseph Johnson,50,1981-04-01,1992-08-01,Davinci Med,220000
Joseph Johnson,51,1955-11-01,2017-02-01,David Geffen,180000
Jason Williams,52,2013-01-01,1994-10-01,Mayo Clinic,200000
Jesse Gordon,53,2008-02-01,2004-10-01,David Geffen,220000
Heather Smith,54,1953-07-01,1991-05-01,Johns Hopkins,180000
Jesse Gordon,55,2003-12-01,2006-06-01,NYU,210000
Heather Smith,56,2015-12-01,2000-10-01,David Geffen,200000
Kayla Hunter DDS,57,1996-01-01,1985-10-01,David Geffen,150000
Heather Smith,58,1980-08-01,1984-04-01,Davinci Med,220000
